creation_date;discount_amount;wash_type;washer;vehicle;receipt;receipt_assigned_amount_to_wash
04/01/2018;0;2;3;8;2;5500
04/01/2018;0;2;3;1;12;7000
04/01/2018;0;2;3;6;3;7000
04/01/2018;0;2;3;8;13;7000
04/01/2018;0;2;3;6;4;7000
04/01/2018;0;2;3;1;30;5500
04/01/2018;0;2;3;5;7;5500
04/01/2018;5.500;2;3;7;1;0
04/01/2018;0;2;3;6;10;5500
11/01/2018;0;3;3;5;11;8000
11/01/2018;0;3;3;7;3;9000
11/01/2018;0;2;3;4;5;7000
11/01/2018;0;3;3;2;17;9000
11/01/2018;0;3;3;1;14;9000
11/01/2018;0;3;3;1;15;9000
11/01/2018;0;3;3;5;9;8000
18/01/2018;0;3;3;5;1;8000
18/01/2018;0;3;3;8;42;8000
18/01/2018;0;3;3;10;10;8000
18/01/2018;0;2;3;7;18;5500
24/01/2018;1.500;2;3;10;11;5500
24/01/2018;0;3;3;3;3;9000
24/01/2018;0;3;3;2;4;9000
24/01/2018;0;3;3;9;30;8000
24/01/2018;0;3;3;7;39;8000
24/01/2018;0;3;3;4;14;9000
24/01/2018;0;3;3;1;8;8000
24/01/2018;0;3;3;4;2;8000
31/01/2018;0;3;4;7;12;8000
31/01/2018;0;3;4;1;3;9000
31/01/2018;0;3;4;3;6;8000
31/01/2018;0;3;4;1;8;9000
31/01/2018;0;3;4;5;9;8000
31/01/2018;0;3;4;2;50;8000
31/01/2018;0;3;4;5;1;
07/02/2018;0;3;4;5;46;9000
07/02/2018;0;3;4;3;23;9000
07/02/2018;0;3;4;8;44;9000
07/02/2018;0;3;4;2;38;9000
07/02/2018;0;3;4;9;33;9000
07/02/2018;0;3;4;10;40;8000
14/02/2018;0;3;4;3;36;9000
14/02/2018;0;3;4;7;47;9000
14/02/2018;0;2;4;7;29;5500
14/02/2018;0;3;4;7;19;8000
14/02/2018;0;3;4;7;37;9000
14/02/2018;0;3;4;7;35;8000
14/02/2018;0;3;4;10;1;
21/02/2018;0;3;4;3;24;8000
21/02/2018;0;3;4;7;22;8000
21/02/2018;0;3;4;8;30;8000
21/02/2018;0;3;4;5;40;8000
21/02/2018;0;3;4;6;43;9000
28/02/2018;0;2;4;7;44;5500
28/02/2018;0;3;4;3;23;9000
28/02/2018;0;3;4;3;46;9000
28/02/2018;0;3;4;10;38;9000
28/02/2018;0;3;4;9;24;8000
28/02/2018;0;3;4;6;48;9000
28/02/2018;0;3;4;6;21;8000
12/03/2018;0;3;5;7;41;8000
12/03/2018;0;3;5;5;23;9000
12/03/2018;0;3;5;4;33;9000
12/03/2018;0;3;5;9;36;9000
12/03/2018;0;3;5;3;26;8000
15/03/2018;0;3;5;6;40;8000
15/03/2018;0;3;5;10;48;9000
15/03/2018;0;3;5;5;43;9000
15/03/2018;0;3;5;7;20;9000
21/03/2018;0;3;5;5;28;9000
21/03/2018;0;3;5;3;30;8000
21/03/2018;0;3;5;7;31;9000
21/03/2018;0;3;5;7;1;
28/03/2018;0;3;5;9;38;9000
28/03/2018;0;3;5;7;39;8000
28/03/2018;0;3;5;3;44;9000
28/03/2018;0;3;5;9;25;8000
28/03/2018;0;3;5;2;23;8000
28/03/2018;0;3;5;8;40;8000
04/04/2018;0;3;5;2;35;8000
04/04/2018;0;3;5;8;36;9000
04/04/2018;0;3;5;8;33;9000
04/04/2018;0;3;5;5;27;8000
13/04/2018;0;3;5;9;51;8000
13/04/2018;0;3;5;10;24;8000
13/04/2018;0;3;5;1;44;9000
13/04/2018;0;3;5;4;49;8000
13/04/2018;0;3;5;7;1;
18/04/2018;0;3;5;5;23;9000
18/04/2018;0;3;5;7;22;8000
18/04/2018;0;3;5;9;27;8000
18/04/2018;0;3;5;10;45;9000
18/04/2018;0;3;5;5;1;
25/04/2018;0;3;5;8;49;8000
25/04/2018;0;3;5;6;48;9000
25/04/2018;0;3;5;2;44;9000
02/05/2018;0;3;5;10;25;8000
02/05/2018;0;3;5;7;51;8000
02/05/2018;0;3;5;2;1;
04/07/2018;0;3;6;1;58;9000
04/07/2018;0;3;6;2;1;
04/07/2018;0;3;6;8;56;9000
11/07/2018;0;3;6;7;64;9000
11/07/2018;0;3;6;5;54;8000
11/07/2018;0;3;6;9;1;
11/07/2018;0;3;6;7;51;8000
11/07/2018;0;3;6;2;1;
18/07/2018;0;3;6;3;57;8000
18/07/2018;0;3;6;1;55;9000
18/07/2018;0;3;6;6;52;8000
01/08/2018;0;3;6;8;1;
01/08/2018;0;3;6;2;61;8000
01/08/2018;0;3;6;8;1;
01/08/2018;0;3;6;10;1;
01/08/2018;0;3;6;5;1;
01/08/2018;0;3;6;1;65;8000
08/08/2018;0;3;6;4;64;9000
08/08/2018;0;3;6;1;63;8000
08/08/2018;0;3;6;9;1;
08/08/2018;0;2;6;8;1;
08/08/2018;0;3;6;8;1;
08/08/2018;0;3;6;3;1;
08/08/2018;0;3;6;8;62;9000
08/08/2018;-1.000;3;6;4;53;9000
15/08/2018;8.000;3;6;10;1;0
22/08/2018;0;3;6;6;1;
22/08/2018;0;3;6;1;1;
29/08/2018;0;3;6;2;1;
29/08/2018;0;3;6;5;1;
29/08/2018;0;3;6;10;1;
29/08/2018;0;3;6;7;1;
06/09/2018;0;3;6;9;1;
06/09/2018;0;3;6;8;1;
06/09/2018;-1.000;3;6;4;53;9000
06/09/2018;0;3;6;9;1;
06/09/2018;4.500;3;6;2;1;
12/09/2018;0;3;6;7;1;
12/09/2018;0;3;6;10;1;
12/09/2018;0;3;6;6;59;8000
26/09/2018;0;3;6;2;1;
26/09/2018;2.000;3;6;1;60;6000
26/09/2018;0;3;6;3;1;
26/09/2018;0;3;6;9;1;
